Word,Frequency,BaseWord
baron,166,baron
barones,10,barones
broer,3253,broer
broers,1291,broer
bruid,370,bruid
bruidegom,233,bruidegom
bruidegoms,6,bruidegom
bruiden,19,bruid
dame,826,dame
dames,654,dame
dochter,5390,dochter
dochters,1611,dochter
gentleman,42,gentleman
gozer,40,gozer
gozers,4,gozer
grootmoeder,734,grootmoeder
grootmoeders,55,grootmoeder
grootvader,844,grootvader
grootvaders,61,grootvader
heer,13153,heer
heren,786,heer
hertog,150,hertog
hertogen,11,hertog
hertogin,44,hertogin
hij,266768,hij
hijzelf,496,hijzelf
jongen,4021,jongen
jongens,2216,jongen
jongetje,487,jongetje
jongetjes,124,jongetje
kerel,518,kerel
kerels,229,kerel
kleindochter,275,kleindochter
kleindochters,15,kleindochter
kleinzonen,20,kleinzoon
kleinzoon,272,kleinzoon
koning,13058,koning
koningen,1784,koning
koningin,1086,koningin
koninginnen,38,koningin
lady,179,lady
lord,259,lord
mama,2564,mama
mama's,131,mama
mamma,130,mama
mamma's,1,mama
man,23768,man
mannelijk,332,mannelijk
mannelijke,948,mannelijk
mannen,11433,man
meid,496,meid
meiden,341,meid
meisje,5666,meisje
meisjes,3014,meisje
meneer,3094,meneer
mevrouw,3122,mevrouw
mijnheer,149,mijnheer
miss,155,miss
mister,36,mister
moeder,16635,moeder
moeders,1955,moeder
monnik,130,monnik
monniken,128,monnik
mr,43,mr
mr.,411,mr
mrs,14,mr
mrs.,36,mr
ms,1,ms
ms.,5,ms
neef,600,neef
neven,218,neef
nicht,466,nicht
nichten,114,nicht
non,369,non
nonnen,325,non
oma,1097,oma
oma's,133,oma
oom,2060,oom
ooms,89,oom
opa,594,opa
opa's,58,opa
papa,2790,papa
papa's,182,papa
pappa,75,papa
pappa's,6,papa
peetmoeder,5,peetmoeder
peetvader,16,peetvader
prins,619,prins
prinsen,128,prins
prinses,460,prinses
prinsessen,39,prinses
schoondochter,134,schoondochter
schoondochters,28,schoondochter
schoonmoeder,313,schoonmoeder
schoonmoeders,13,schoonmoeder
schoonvader,233,schoonvader
schoonvaders,2,schoonvader
schoonzonen,4,schoonzoon
schoonzoon,192,schoonzoon
stiefdochter,9,stiefdochter
stiefmoeder,53,stiefmoeder
stiefmoeders,19,stiefmoeder
stiefvader,81,stiefvader
stiefvaders,3,stiefvader
stiefzonen,1,stiefzoon
stiefzoon,14,stiefzoon
tante,2117,tante
tantes,98,tante
vader,16804,vader
vaders,1071,vader
vrouw,19278,vrouw
vrouwelijk,265,vrouwelijk
vrouwelijke,1384,vrouwelijk
vrouwen,11946,vrouw
wijf,130,wijf
wijven,38,wijf
zij,43567,zij
zijzelf,223,zijzelf
zonen,3861,zoon
zoon,12292,zoon
zus,1927,zus
zussen,347,zus
